material_id,formula,band_gap,atomic_density,fermi energy,magnetic_state,category
mp-1183115,AcAlO3,4.1024,11.49028265,6.94886555,False,1
mp-27972,AcBr3,4.1033,34.11611833,1.17633386,False,1
mp-30274,AcBrO,4.241,23.35656831,3.29984923,False,1
mp-27971,AcCl3,5.0865,29.29213848,1.14865298,False,1
mp-30273,AcClO,4.4451,21.53553386,3.60673575,False,1
mp-977360,AcF3,7.4101,13.41578372,2.96768069,False,1
mp-985278,AcF3,6.0693,13.40680429,3.0310091,False,1
mp-36526,AcOF,4.2566,17.53121111,3.70729944,False,1
mp-10413,AgB(CN)4,4.2798,19.4105947,-2.20769146,False,1
mp-738633,AgB10H26C6N,3.9999,9.194185374,-0.88972049,False,1
mp-759882,AgBH8C4(N2F)4,3.8049,10.84500983,-0.81931576,False,1
mp-759408,AgH8C4N8F,3.8488,10.51504454,-0.3381681,False,1
mp-569787,Al(BH4)3,6.3335,10.85753515,-3.81933159,False,1
mp-1245920,Al(C2N3)3,3.9827,16.98717533,2.72572358,False,1
mp-1229076,Al(CN)3,5.1115,20.37068387,-3.63375018,False,1
mp-35327,Al(CN)3,5.0623,20.09624841,-3.57078995,False,1
mp-1182949,Al(HO)3,4.8485,7.755202105,1.13147572,False,1
mp-1193404,Al(HO)3,5.7601,6.360220872,8.86817915,False,1
mp-27540,Al(HO)3,5.009,7.740400439,1.12886545,False,1
mp-37836,Al(HO)3,4.9076,7.789961366,1.16929637,False,1
mp-554002,Al(HO)3,5.0615,7.752270414,1.20122844,False,1
mp-554883,Al(HO)3,4.9269,7.764499877,1.17545877,False,1
mp-555462,Al(HO)3,5.2535,7.769982152,1.05243369,False,1
mp-560196,Al(HO)3,5.2187,7.583674731,1.28632005,False,1
mp-560572,Al(HO)3,5.2041,7.622713981,1.24288107,False,1
mp-625316,Al(HO)3,4.9764,7.787811511,1.09618049,False,1
mp-625318,Al(HO)3,5.2193,7.786245217,1.05436491,False,1
mp-625320,Al(HO)3,4.6615,7.930093971,1.11174065,False,1
mp-625739,Al(HO)3,4.8633,7.631946476,1.35344298,False,1
mp-625762,Al(HO)3,4.7202,7.784884437,1.21196758,False,1
mp-625774,Al(HO)3,4.8775,7.710395681,1.11371647,False,1
mp-625807,Al(HO)3,4.3037,7.625647071,1.89087822,False,1
mp-626073,Al(HO)3,4.5901,8.051139242,0.71915784,False,1
mp-626074,Al(HO)3,4.615,8.070663866,0.80354781,False,1
mp-626094,Al(HO)3,4.3399,7.582871069,2.0226445,False,1
mp-626103,Al(HO)3,4.9129,7.768758899,1.21503503,False,1
mp-626414,Al(HO)3,4.8834,7.920226852,1.81973588,False,1
mp-626431,Al(HO)3,4.9443,7.81827038,1.08362927,False,1
mp-626435,Al(HO)3,4.9639,7.729925886,1.21029771,False,1
mp-626467,Al(HO)3,4.0092,7.651968488,2.11256518,False,1
mp-626470,Al(HO)3,4.9945,7.706347863,1.16455713,False,1
mp-626481,Al(HO)3,3.8282,7.555139053,2.55579839,False,1
mp-626496,Al(HO)3,5.0418,7.717717625,1.08358653,False,1
mp-626497,Al(HO)3,4.6973,7.789542603,1.05354176,False,1
mp-626500,Al(HO)3,4.5759,8.015487234,0.94631345,False,1
mp-626502,Al(HO)3,4.9816,7.72034017,1.16407983,False,1
mp-626504,Al(HO)3,4.7476,7.878311464,1.08304798,False,1
mp-626568,Al(HO)3,3.8913,7.48427616,2.4302863,False,1
mp-626587,Al(HO)3,4.8222,7.661323142,1.14965026,False,1
mp-626605,Al(HO)3,4.7793,7.151515498,1.29884843,False,1
mp-626631,Al(HO)3,3.8336,7.669952471,1.83778648,False,1
mp-626654,Al(HO)3,4.2384,7.456206024,2.17141333,False,1
mp-777738,Al(HO)3,5.1686,7.588564069,1.26385498,False,1
mp-985293,Al(HO)3,5.8109,6.753157067,2.27317654,False,1
mp-1019377,Al(PO3)3,5.9631,13.92549779,-0.27553454,False,1
mp-14011,Al(PO3)3,5.7124,12.98605976,0.765425,False,1
mp-540549,Al(PO3)3,5.8053,11.93369746,1.51305864,False,1
mp-559996,Al(PO3)3,5.5151,12.73533068,1.03867838,False,1
mp-760795,Al10ZnO16,4.3268,9.561124719,9.30437476,False,1
mp-675682,Al11NO15,4.0526,9.44417156,6.01400241,False,1
mp-2206289,Al11TlO17,5.3236,10.67532768,4.27742406,False,1
mp-758571,Al11TlO17,4.5903,11.01824535,4.3089768,False,1
mp-757333,Al12PbO19,4.519,9.542896618,6.09324434,False,1
mp-534982,Al13Si5H14Cl(O17F2)2,3.922,9.709733485,3.26538875,False,1
mp-706657,Al13Si5H18ClO38,4.3438,9.30072108,2.63799946,False,1
mp-675472,Al17(NO7)3,4.199,9.405781536,6.25889891,False,1
mp-757340,Al19CrO30,3.9429,8.821975563,6.13758607,True,1
mp-2713752,Al2(SO4)3,5.6638,12.47324227,1.40933445,False,1
mp-4417,Al2(SO4)3,6.0272,11.66897575,1.09841717,False,1
mp-1182999,Al2(WO4)3,4.5346,16.28462705,-0.63058871,False,1
mp-19516,Al2(WO4)3,4.6158,15.4416672,-0.3945823,False,1
mp-542093,Al2(WO4)3,4.5354,16.28999459,-0.62535969,False,1
mp-560318,Al2(WO4)3,4.619,16.28103202,-0.60673276,False,1
mp-1199198,Al2B3HO8,5.5664,12.37315158,4.48957611,False,1
mp-6172,Al2Fe3(SiO4)3,3.8269,9.923097848,4.74724405,True,1
mp-1199432,Al2FeP2(HO)18,4.0407,8.418969114,1.11829729,True,1
mp-643346,Al2Ge(HO3)2,3.8758,9.174938967,3.00156447,False,1
mp-561437,Al2Ge(O2F)2,4.0658,10.49771706,2.56492258,False,1
mp-757796,Al2H10S3O17,5.8156,9.83244609,0.17939988,False,1
mp-707424,Al2H12(SeO5)3,4.7451,11.04785871,-0.61297483,False,1
mp-740731,Al2H12(SeO5)3,4.6417,12.15324639,-0.78905887,False,1
mp-1202430,Al2H15SClO13,5.3509,9.44905024,-0.77831364,False,1
mp-850293,Al2H16S3O20,5.574,9.660796809,-0.42514088,False,1
mp-1238496,Al2H18SO15,4.9787,9.129928241,-1.02218465,False,1
mp-1196041,Al2H32S3O28,4.6645,9.481204261,3.62254069,False,1
mp-1143,Al2O3,5.8537,8.74200194,5.87476121,False,1
mp-1182923,Al2O3,4.5868,11.85295926,7.04106722,False,1
mp-1244887,Al2O3,4.0034,10.77817213,8.03836522,False,1
mp-1244909,Al2O3,3.8764,10.84369537,8.06289644,False,1
mp-1244930,Al2O3,3.8784,10.85316365,8.10208764,False,1
mp-1244947,Al2O3,4.084,10.84151967,8.10682912,False,1
mp-1244967,Al2O3,3.9432,10.98225048,7.9459503,False,1
mp-1244982,Al2O3,3.8673,11.14624367,7.69518001,False,1
mp-1245008,Al2O3,3.8463,10.94496151,7.93599834,False,1
